item_name,item_code,kind_name,kind_code,rank,rank_code,unit,day1,dpr1,day2,dpr2,day3,dpr3,day4,dpr4,day5,dpr5,day6,dpr6,day7,dpr7,date
고춧가루,248,국산(1kg),0,상품,4,1kg,당일 (10/25),"34,371",1일전 (10/24),"34,310",1주일전 (10/18),"34,859",2주일전 (10/11),"34,561",1개월전,"35,302",1년전,"34,817",일평년,"33,228",2024-10-25 17:15:48.117773+09:00
고춧가루,248,국산(1kg),0,상품,4,1kg,당일 (10/25),"34,371",1일전 (10/24),"34,310",1주일전 (10/18),"34,859",2주일전 (10/11),"34,561",1개월전,"35,302",1년전,"34,817",일평년,"33,228",2024-10-25 17:18:14.033898+09:00
고춧가루,248,국산(1kg),0,상품,4,1kg,당일 (10/21),"34,582",1일전 (10/20),-,1주일전 (10/14),"34,512",2주일전 (10/07),"34,714",1개월전,"35,302",1년전,"34,817",일평년,"33,228",2024-10-21 17:18:32.717947+09:00
고춧가루,248,국산(1kg),0,상품,4,1kg,당일 (08/13),"34,968",1일전 (08/12),"35,040",1주일전 (08/06),"35,214",2주일전 (07/30),"35,762",1개월전,"35,677",1년전,"33,723",일평년,"31,279",2024-08-13 17:19:05.214481+09:00
고춧가루,248,국산(1kg),0,상품,4,1kg,당일 (10/22),"34,565",1일전 (10/21),"34,582",1주일전 (10/15),"34,512",2주일전 (10/08),"34,727",1개월전,"35,302",1년전,"34,817",일평년,"33,228",2024-10-22 17:19:19.054829+09:00
고춧가루,248,국산(1kg),0,상품,4,1kg,당일 (10/23),"34,659",1일전 (10/22),"34,565",1주일전 (10/16),"34,512",2주일전 (10/09),-,1개월전,"35,302",1년전,"34,817",일평년,"33,228",2024-10-23 17:19:26.778220+09:00
고춧가루,248,국산(1kg),0,상품,4,1kg,당일 (10/24),"34,310",1일전 (10/23),"34,659",1주일전 (10/17),"34,859",2주일전 (10/10),"34,600",1개월전,"35,302",1년전,"34,817",일평년,"33,228",2024-10-24 17:19:39.658059+09:00
고춧가루,248,국산(1kg),0,상품,4,1kg,당일 (10/25),"34,371",1일전 (10/24),"34,310",1주일전 (10/18),"34,859",2주일전 (10/11),"34,561",1개월전,"35,302",1년전,"34,817",일평년,"33,228",2024-10-25 17:19:45.400901+09:00
고춧가루,248,국산(1kg),0,상품,4,1kg,당일 (10/26),-,1일전 (10/25),"34,371",1주일전 (10/19),-,2주일전 (10/12),-,1개월전,"35,302",1년전,"34,817",일평년,"33,228",2024-10-26 17:19:53.088317+09:00
고춧가루,248,국산(1kg),0,상품,4,1kg,당일 (10/26),-,1일전 (10/25),"34,371",1주일전 (10/19),-,2주일전 (10/12),-,1개월전,"35,302",1년전,"34,817",일평년,"33,228",2024-10-26 09:57:59.735512+09:00
고춧가루,248,국산(1kg),0,상품,4,1kg,당일 (10/29),"37,550",1일전 (10/28),"37,550",1주일전 (10/22),"37,550",2주일전 (10/15),"37,550",1개월전,"35,302",1년전,"34,817",일평년,"33,228",2024-10-29 22:49:52.119923+09:00
고춧가루,248,국산(1kg),0,상품,4,1kg,당일 (10/29),"37,550",1일전 (10/28),"37,550",1주일전 (10/22),"37,550",2주일전 (10/15),"37,550",1개월전,"35,302",1년전,"34,817",일평년,"33,228",2024-10-29 23:09:04.140088+09:00
고춧가루,248,국산(1kg),0,상품,4,1kg,당일 (10/29),"37,550",1일전 (10/28),"37,550",1주일전 (10/22),"37,550",2주일전 (10/15),"37,550",1개월전,"35,302",1년전,"34,817",일평년,"33,228",2024-10-29 23:32:22.286822+09:00
고춧가루,248,국산(1kg),0,상품,4,1kg,당일 (10/29),"37,550",1일전 (10/28),"37,550",1주일전 (10/22),"37,550",2주일전 (10/15),"37,550",1개월전,"35,302",1년전,"34,817",일평년,"33,228",2024-10-29 23:47:18.025415+09:00
고춧가루,248,국산(1kg),0,상품,4,1kg,당일 (10/29),"37,550",1일전 (10/28),"37,550",1주일전 (10/22),"37,550",2주일전 (10/15),"37,550",1개월전,"35,302",1년전,"34,817",일평년,"33,228",2024-10-29 23:59:12.538564+09:00
고춧가루,248,국산(1kg),0,상품,4,1kg,당일 (10/30),"37,550",1일전 (10/29),"37,550",1주일전 (10/23),"37,550",2주일전 (10/16),"37,550",1개월전,"35,302",1년전,"34,817",일평년,"33,228",2024-10-30 00:26:29.329936+09:00
고춧가루,248,국산(1kg),00,상품,04,1kg,당일 (10/30),"37,550",1일전 (10/29),"37,550",1주일전 (10/23),"37,550",2주일전 (10/16),"37,550",1개월전,"35,302",1년전,"34,817",일평년,"33,228",2024-10-30 00:42:36.808945+09:00
